api,family,method,dtype,layout,args,numpy_status,numpy_shape,numpy_dtype,numpy_error,numpy_message,numpy_mutated,charex_status,charex_shape,charex_dtype,charex_error,charex_message,charex_mutated,same_outcome,values_match
char,comparison,equal,S,python-scalar,bytes:b'abcabc' | bytes:b'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,S,python-scalar,bytes:b'abcabc' | bytes:b'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,equal,S,zero-dimensional,"shape=(),strides=(),dtype=|S8,writeable=True | shape=(),strides=(),dtype=|S8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,S,zero-dimensional,"shape=(),strides=(),dtype=|S8,writeable=True | shape=(),strides=(),dtype=|S8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,equal,S,contiguous-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=True | shape=(4,),strides=(8,),dtype=|S8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,S,contiguous-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=True | shape=(4,),strides=(8,),dtype=|S8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,equal,S,readonly-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=False | shape=(4,),strides=(8,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,S,readonly-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=False | shape=(4,),strides=(8,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,equal,S,positive-stride-1d,"shape=(3,),strides=(16,),dtype=|S8,writeable=True | shape=(3,),strides=(16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,S,positive-stride-1d,"shape=(3,),strides=(16,),dtype=|S8,writeable=True | shape=(3,),strides=(16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,S,negative-stride-1d,"shape=(3,),strides=(-16,),dtype=|S8,writeable=True | shape=(3,),strides=(-16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
